country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
San Marino,SM,SMR,34453,0,0,11-02-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,24-08-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,07-02-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,03-08-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,82,,11-05-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,,0,23-08-2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,3,04-09-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,12,,28-03-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,5,,13-08-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,02-09-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,98,14-04-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1174,,17-03-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,3,22-07-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,13-02-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,19,06-07-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,3,11-10-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,86,19-04-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,292,,12-09-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,0,0,15-01-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,1,,20-05-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,961,,22-05-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,665,,21-05-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,15,,14-03-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,19,,04-06-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,42,,11-09-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,43,23-03-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,36,,13-05-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,2,03-09-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1,,31-01-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,36,,15-03-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,13,,22-03-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2,,19-06-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,875,,17-05-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,23-01-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,15186,,16-10-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,1,,06-07-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,17,11-06-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,05-08-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,1,24-07-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,136,,07-04-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,1,05-07-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,9,,21-03-2020,"Epidemic intelligence, national daily data"
